x,y,x_y,Opn,Oth,Dec,Evg,WP,Mxd,lon,lat,inbd,id,id.in,in.UNH,Property,id.full,id.in.full
36,28,36_28,0.12300955,0.156002671,0.185628412,0.00989965,0.059446749,0.466012985,807000,4794000,TRUE,123,123,FALSE,NA,1710,1239
37,28,37_28,0.096787819,0.099062831,0.333834383,0.004005903,0.010040707,0.456268356,810000,4794000,TRUE,124,124,FALSE,NA,1711,1240
38,28,38_28,0.128333568,0.105843282,0.262618942,0.012833975,0.024235217,0.466135016,813000,4794000,TRUE,125,125,FALSE,NA,1712,1241
39,28,39_28,0.066454429,0.107939188,0.182562397,0.016225849,0.087576019,0.539242135,816000,4794000,TRUE,126,126,FALSE,NA,1713,1242
40,28,40_28,0.146854501,0.083869257,0.286872333,0.003524341,0.034967544,0.443912048,819000,4794000,TRUE,127,127,FALSE,NA,1714,1243
41,28,41_28,0.137709238,0.085707101,0.17733668,0.009459383,0.125959044,0.463828556,822000,4794000,TRUE,128,128,FALSE,NA,1715,1244
42,28,42_28,0.144969749,0.06588719,0.170667492,0.01203198,0.157927531,0.448516081,825000,4794000,TRUE,129,129,FALSE,NA,1716,1245
43,28,43_28,0.15975451,0.276695729,0.072713687,0.009268847,0.089719052999999993,0.391848177,828000,4794000,TRUE,130,130,FALSE,NA,1717,1246
44,28,44_28,0.331844282,0.172506854,0.087128737,0.006091287,0.059053682,0.343375149,831000,4794000,TRUE,131,131,FALSE,NA,1718,1247
45,28,45_28,0.512319785,0.190437405,0.089468856,9.23e-4,0.025003487,0.181847926,834000,4794000,TRUE,132,132,FALSE,NA,1719,1248
46,28,46_28,0.200129973,0.374113068,0.066540256,0.002280592,0.106068851,0.250867261,837000,4794000,TRUE,133,133,FALSE,NA,1720,1249
47,28,47_28,0.329820968,0.030038065,0.05500223,0.014934827,0.114625901,0.455577992,840000,4794000,TRUE,134,134,FALSE,NA,1721,1250
48,28,48_28,0.193786345,0.003133439,0.016920896,0.015985245,0.13781245,0.632361637,843000,4794000,TRUE,135,135,FALSE,NA,1722,1251
49,28,49_28,0.144172962,0.07068397,0.119699655,0.034486853,0.092090326,0.538866218,846000,4794000,TRUE,136,136,FALSE,NA,1723,1252
50,28,50_28,0.127716979,0.028598357,0.076287487,0.046784594,0.18035932,0.540253264,849000,4794000,TRUE,137,137,FALSE,NA,1724,1253
51,28,51_28,0.195722727,0.035134084,0.070840717,0.028618988,0.164901044,0.504782439,852000,4794000,TRUE,138,138,FALSE,NA,1725,1254
29,29,29_29,0.124004452,0.067151079,0.439126939,0.031100036,0.121728306,0.216889199,786000,4791000,TRUE,139,139,FALSE,NA,1765,1280
30,29,30_29,0.059529816,0.064519118,0.548102228,0.007647088,0.04861574,0.271586011,789000,4791000,TRUE,140,140,FALSE,NA,1766,1281
31,29,31_29,0.148125169,0.209241131,0.22932734,0.029428889,0.152766706,0.231110763,792000,4791000,TRUE,141,141,FALSE,NA,1767,1282
32,29,32_29,0.09321334,0.077015504,0.36885571,0.004941342,0.075536431,0.380437683,795000,4791000,TRUE,142,142,FALSE,NA,1768,1283
33,29,33_29,0.058582915,0.062291702,0.42377401,0.01557468,0.035954982,0.403821715,798000,4791000,TRUE,143,143,FALSE,NA,1769,1284
34,29,34_29,0.092482231,0.249418153,0.218767784,0.003840356,0.031198086,0.404293384,801000,4791000,TRUE,144,144,FALSE,NA,1770,1285
35,29,35_29,0.056097795,0.186737592,0.140929164,0.037281832,0.060688974,0.51826463,804000,4791000,TRUE,145,145,FALSE,NA,1771,1286
36,29,36_29,0.029809997,0.086732567,0.093544699,0.033027406,0.184090642,0.572794697,807000,4791000,TRUE,146,146,FALSE,NA,1772,1287
37,29,37_29,0.147919067,0.089811215,0.367599585,0.00533522,0.011124316,0.378210587,810000,4791000,TRUE,147,147,FALSE,NA,1773,1288
38,29,38_29,0.175818628,0.10615044,0.27114912,0.003751433,0.028877811,0.414252579,813000,4791000,TRUE,148,148,FALSE,NA,1774,1289
39,29,39_29,0.040851916,0.076988792,0.184295247,0.025833263,0.039781526,0.632249252,816000,4791000,TRUE,149,149,FALSE,NA,1775,1290
40,29,40_29,0.073831122,0.233326608,0.142406276,0.011544857,0.058343064,0.480548078,819000,4791000,TRUE,150,150,FALSE,NA,1776,1291
41,29,41_29,0.137001814,0.105003716,0.31815819,0.002860343,0.036673563,0.400302374,822000,4791000,TRUE,151,151,FALSE,NA,1777,1292
42,29,42_29,0.171765642,0.150868802,0.136125585,0.003023695,0.083579503,0.454636766,825000,4791000,TRUE,152,152,FALSE,NA,1778,1293
43,29,43_29,0.184110922,0.26059404,0.1138206,0.010924722,0.07915248,0.351397225,828000,4791000,TRUE,153,153,FALSE,NA,1779,1294
44,29,44_29,0.340805782,0.160833543,0.139156199,0.008069654,0.074275535,0.276859289,831000,4791000,TRUE,154,154,FALSE,NA,1780,1295
45,29,45_29,0.575597088,0.16377494,0.059528199,4.41e-4,0.034430644,0.166228301,834000,4791000,TRUE,155,155,FALSE,NA,1781,1296
46,29,46_29,0.203952084,0.366183603,0.081404663,0.002168595,0.077495486,0.268795575,837000,4791000,TRUE,156,156,FALSE,NA,1782,1297
47,29,47_29,0.32557229,0.009761446,0.079513882,0.013779145,0.104563553,0.466809699,840000,4791000,TRUE,157,157,FALSE,NA,1783,1298
48,29,48_29,0.20732072000000001,0.040698899,0.088786763,0.019452712,0.111818921,0.531921989,843000,4791000,TRUE,158,158,FALSE,NA,1784,1299
49,29,49_29,0.199053445,0.204251901,0.116589335,0.015682456,0.089508956,0.374913932,846000,4791000,TRUE,159,159,FALSE,NA,1785,1300
